Sample Number (100 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),Temperature (),Set Value (),u (),u_sum (),de ()
307,1673969725696,27.65,33.0,22.492,190.391,-0.01
308,1673969725863,27.66,33.0,22.454,190.658,-0.01
309,1673969726030,27.66,33.0,22.506,190.925,0.0
310,1673969726196,27.66,33.0,22.507,191.192,0.0
311,1673969726363,27.67,33.0,22.419,191.459,-0.01
312,1673969726529,27.68,33.0,22.38,191.725,-0.01
313,1673969726696,27.69,33.0,22.342,191.99,-0.01
314,1673969726863,27.7,33.0,22.304,192.255,-0.01
315,1673969727030,27.71,33.0,22.265,192.52,-0.01
316,1673969727198,27.71,33.0,22.317,192.784,0.0
317,1673969727363,27.71,33.0,22.318,193.049,0.0
318,1673969727530,27.73,33.0,22.14,193.312,-0.02
319,1673969727696,27.74,33.0,22.151,193.575,-0.01
320,1673969727863,27.74,33.0,22.203,193.838,0.0
321,1673969728029,27.75,33.0,22.115,194.101,-0.01
322,1673969728196,27.76,33.0,22.076,194.363,-0.01
323,1673969728363,27.77,33.0,22.038,194.624,-0.01
324,1673969728530,27.77,33.0,22.089,194.886,0.0
325,1673969728697,27.78,33.0,22.001,195.147,-0.01
326,1673969728864,27.79,33.0,21.962,195.407,-0.01
327,1673969729030,27.79,33.0,22.014,195.668,0.0
328,1673969729197,27.8,33.0,21.926,195.928,-0.01
329,1673969729364,27.81,33.0,21.887,196.187,-0.01
330,1673969729531,27.8,33.0,22.029,196.447,0.01
331,1673969729697,27.82,33.0,21.8,196.706,-0.02
332,1673969729864,27.83,33.0,21.812,196.965,-0.01
333,1673969730031,27.84,33.0,21.773,197.223,-0.01
334,1673969730198,27.85,33.0,21.735,197.48,-0.01
335,1673969730365,27.85,33.0,21.786,197.738,0.0
336,1673969730531,27.86,33.0,21.698,197.995,-0.01
337,1673969730697,27.86,33.0,21.75,198.252,0.0
338,1673969730863,27.86,33.0,21.751,198.509,0.0
339,1673969731029,27.88,33.0,21.573,198.765,-0.02
340,1673969731196,27.88,33.0,21.674,199.021,0.0
341,1673969731363,27.9,33.0,21.496,199.276,-0.02
342,1673969731530,27.91,33.0,21.507,199.53,-0.01
343,1673969731697,27.91,33.0,21.559,199.785,0.0
344,1673969731863,27.92,33.0,21.47,200.039,-0.01
345,1673969732030,27.93,33.0,21.432,200.292,-0.01
346,1673969732197,27.94,33.0,21.393,200.545,-0.01
347,1673969732364,27.94,33.0,21.445,200.798,0.0
348,1673969732530,27.95,33.0,21.356,201.051,-0.01
